                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.57903,                 1.9869,                0.95672,                 0.7791,                0.83248,                0.86001,                  0.761,                0.41816,                0.94952,                0.91201,             0.00017504,             0.00017504,             0.00017504
                      2,                 0.5284,                 1.0271,                0.92734,                0.83027,                0.83822,                 0.8861,                0.78937,                0.39843,                0.83474,                0.90516,             0.00033303,             0.00033303,             0.00033303
                      3,                 0.5257,                0.86453,                0.92878,                0.83505,                 0.8541,                0.89314,                0.80648,                0.37244,                0.64121,                0.88868,             0.00047366,             0.00047366,             0.00047366
                      4,                0.51417,                0.74477,                0.92366,                0.87381,                0.91643,                0.93207,                0.83888,                0.37513,                0.47018,                0.88392,             0.00044789,             0.00044789,             0.00044789
                      5,                0.50198,                0.65795,                0.91933,                0.91264,                0.92437,                0.93685,                 0.8537,                0.35921,                0.39873,                0.87656,             0.00042185,             0.00042185,             0.00042185
                      6,                0.48929,                0.58097,                0.91413,                 0.9188,                0.92741,                0.94724,                0.86642,                0.34229,                0.36556,                0.86791,             0.00039581,             0.00039581,             0.00039581
                      7,                0.48401,                0.54593,                0.91082,                0.90637,                0.91386,                0.94297,                0.86165,                0.35855,                0.38431,                0.86937,             0.00036978,             0.00036978,             0.00036978
                      8,                0.47016,                0.50214,                0.90611,                 0.9329,                0.93598,                0.95166,                0.88212,                0.32203,                0.31184,                0.85087,             0.00034374,             0.00034374,             0.00034374
                      9,                0.46699,                0.48234,                 0.9036,                0.94219,                0.93674,                0.95419,                0.88495,                0.31557,                0.30086,                0.84999,              0.0003177,              0.0003177,              0.0003177
                     10,                0.45624,                0.45342,                0.90125,                0.94209,                0.93394,                0.96051,                0.89194,                0.31622,                0.29729,                0.84692,             0.00029167,             0.00029167,             0.00029167
                     11,                0.42232,                0.38536,                0.88605,                0.94326,                0.93604,                0.96054,                0.89268,                0.32642,                0.30112,                0.84924,             0.00026563,             0.00026563,             0.00026563
                     12,                0.40742,                0.35709,                0.87646,                 0.9461,                0.94425,                0.96405,                    0.9,                0.30582,                0.27317,                0.84381,             0.00023959,             0.00023959,             0.00023959
                     13,                0.39928,                0.33182,                0.87089,                0.95757,                0.95059,                0.96974,                0.90494,                0.30338,                0.25139,                0.83991,             0.00021356,             0.00021356,             0.00021356
                     14,                0.39229,                0.31538,                0.86944,                0.96075,                0.94629,                0.96777,                0.90901,                0.29672,                0.24168,                0.83674,             0.00018752,             0.00018752,             0.00018752
                     15,                0.38563,                0.29749,                0.86396,                0.96556,                0.95477,                0.97145,                0.91612,                0.28256,                0.23024,                0.82936,             0.00016148,             0.00016148,             0.00016148
                     16,                0.37485,                0.28278,                  0.858,                0.95664,                0.94902,                0.97025,                0.91693,                0.28912,                0.23083,                 0.8284,             0.00013544,             0.00013544,             0.00013544
                     17,                0.36836,                0.27054,                0.85579,                0.95724,                0.95813,                 0.9721,                0.92335,                0.27506,                 0.2205,                0.82448,             0.00010941,             0.00010941,             0.00010941
                     18,                0.35942,                0.26034,                0.85148,                0.96314,                0.95332,                0.97206,                0.92168,                0.27714,                 0.2123,                0.82389,             8.3371e-05,             8.3371e-05,             8.3371e-05
                     19,                0.35242,                0.24966,                0.84755,                 0.9609,                0.95941,                0.97273,                0.92613,                0.26389,                0.20284,                0.81778,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     20,                0.34555,                0.24018,                0.84448,                0.96382,                0.96115,                0.97553,                0.92951,                0.26452,                0.19626,                0.81852,             3.1297e-05,             3.1297e-05,             3.1297e-05
